文章标题,发表时间,阅读数,医生,医院,科室,文章
术前术后患者须知, 2016-01-27 22:48,64225,邵成浩,上海长海医院,胰腺外科,为了您或您亲人手术的顺利进行，以及术后的健康恢复，请一定要详细阅读以下内容，并认真执行哦　　如有疑问，请咨询您的管床护士及医生。　　祝您早日康复！　　术前一天您需要完成以下事项：
萎缩性胃炎会不会转变成胃癌？, 2017-08-10 16:12,13861,程伏林,武汉大学中南医院,肿瘤外科,萎缩性胃炎是以胃黏膜腺体数目减少为特征的一种慢性胃炎。由于中重度萎缩性胃炎伴有肠化生或上皮内瘤变者可以发生癌变，因此被称为胃癌前病变。防治萎缩性胃炎对减少胃癌的发生具有积极意义。　　萎缩性胃炎有哪些诱发因素?　　在日常生活中，进食粗糙、生冷或辛辣刺激食物，或饮酒，或情绪波动，或工作压力大，或气候的急剧变化等都容易导致萎缩性胃炎的发作。因此，在日常生活中应避免或减少这些诱发因素，以减少萎缩性胃炎的发作。　　幽门螺杆菌和萎缩性胃炎的关系?　　幽门螺杆菌是导致萎缩性胃炎、消化性溃疡、胃癌、胃粘膜相关淋巴组织样淋巴瘤等疾病的病因之一，根除幽门螺杆菌能够降低这些疾病的发生。到目前为止没有公认的可以逆转癌前病变的药物。但有一点得到大家的认同，即对于合并幽门螺杆菌感染的萎缩性胃炎患者，在根除幽门螺杆菌后，可以使部分患者的萎缩发生逆转，可以使患者的肠化维持稳定不再进展，从而降低发生癌变的可能性。　　萎缩性胃炎患者伴有其他疾病在治疗上有什么需要注意的?　　患有萎缩性胃炎并伴有其他疾病，在治疗其他疾病是必须要考虑到用药是否对胃有进一步损伤。比如心脑血管疾病常用抗凝药阿司匹林、氯吡格雷，风湿关节疾病所用的消炎止痛药如芬必得、扶他林等药物均对胃黏膜有一定的损伤作用，因此萎缩性胃炎患者在服用这些药物时宜服用保护胃黏膜的药物。　　会不会转变成胃癌?　　胃癌的发生不是一蹴而就的，而是历经从慢性非萎缩性胃炎发展到慢性萎缩性胃炎，再发生肠化和/或上皮内瘤变，最终演变为胃癌这样一个慢性过程。当萎缩性胃炎出现中重度萎缩和肠化生、低级别内瘤变时应当引起重视，因为出现这些病变时发生癌变的几率会较普通人群为高，应当采取一些必要措施来预防癌变的发生。　　但是也不必要对萎缩和肠化产生不必要的恐慌。因为萎缩性胃炎发生癌变的几率还是比较低的，约为0.5％-1％，即使是低级别内瘤变大部分可以逆转的。因此对于大多数患者(尤其是轻度的患者)而言其预后是良好的。　　如何预防癌变?       对于已发生萎缩性胃炎的患者来说，定期随访胃镜和病理检查是预防胃癌的一个重要手段。为了既减少胃癌的发生，又方便患者且符合医药经济学要求，有中-重度萎缩并伴有肠化生的慢性萎缩性胃炎1年左右随访一次，不伴有肠化生或上皮内瘤变的慢性萎缩性胃炎可酌情行内镜和病理随访。伴有低级别上皮内瘤变者每6 个月左右随访一次，而高级别上皮内瘤变需立即确认，证实后行内镜下治疗或手术治疗。对于合并幽门螺杆菌感染者，根除幽门螺杆菌也是预防癌变的一个重要措施。　　如何养胃?　　养胃关键是保持规律的生活习惯、积极乐观的心态和健康的饮食习惯，三餐定时，忌饥饱无常。胃病患者应当注意低盐饮食，多食新鲜蔬菜，忌隔夜菜，少吃油炸、腌制、烧烤类食物，戒烟，可适量饮低度酒。
胃窦炎患者有什么不适症状?, 2017-08-10 15:37,96078,刘正新,首都医科大学附属北京朝阳医院,消化内科,胃窦炎是一种常见的胃部疾病，主要病变多局限于黏膜层，但也漫延至肌层或浆膜层。在病变部分出现水肿、炎症细胞侵润和纤维组织增生，使局部变厚，甚至狭窄;部分病例可有黏膜表面糜烂、肠腺上皮化发生变化。但是你知道胃窦炎都有哪些危害吗?　　胃窦炎患者有什么不适症状?　　1、引发胃癌。胃窦炎可以分为浅表性和萎缩性两种，其中萎缩性胃炎发生胃癌的几率比较的高，胃窦炎有发生癌变的可能。　　2、引发更多并发症。长期患病不加治疗，疼痛加剧，出现恶心呕吐，患者出现排尿异常、胃溃疡、食欲不振等并发症状。　　3、导致精神紊乱。胃窦炎与精神因素关系密切，情绪波动或恐惧紧张时，可使症状加剧。副交感神经系统兴奋时也易发作。有些胃窦炎患者，上腹疼症状与十二指肠球部溃疡相似，慢性胃窦炎容易误诊为胃窦癌，需做胃镜检查来区别。　　4、腹胀腹痛，胃窦炎多发于30岁以上的男性，上腹部撑胀感感，上腹部隐痛或剧痛，常呈周期性发作，可伴有嗳气、反酸、上腹烧灼感、恶心、呕吐、消瘦等，少数可有出血，也有无症状者.本病与精神因素关系密切，情绪波动、生气、精神压力或恐惧癌症的紧张心理可使症状加剧。　　5、胃窦炎的传染性。如果是幽门螺杆菌引起的胃窦炎，可通过食物、粪便、餐具等途径发生传播。　　二、如何治疗胃窦炎?　　1、根除幽门螺杆菌　　胃窦炎的症状应归属于功能性消化不良范畴，目前一般采用对幽门螺杆菌阳性的功能性消化不良行根除治疗。因此，有消化不良症状的幽门螺杆菌阳性慢性非萎缩性胃炎患者均应根除幽门螺杆菌。　　2、内科药物治疗　　慢性胃炎伴胆汁反流者可应用促动力药或有结合胆酸作用的胃黏膜保护剂。有胃黏膜糜烂、反酸、上腹痛等症状为主者，可根据病情或症状严重程度选用抗酸剂、H2受体拮抗剂或质子泵抑制剂。促动力药可用于上腹饱胀、恶心或呕吐等为主要症状者。胃黏膜保护剂用于有胆汁反流、胃黏膜损害或症状明显者。抗抑郁药或抗焦虑药可用于有明显精神因素的慢性胃炎伴消化不良症状患者。上述药物除具对症治疗作用外，对胃黏膜上皮修复及炎症也可能具有一定作用。　　3、手术治疗　　如果内科药物效果不够理想，但决定手术或再次手术前应该坚持试用几个月。对返流症状严重，内科治疗无效者可考虑手术治疗。常用的手术方式为胃空肠吻合术，转流术后能完全消除肠胃返流，粘膜炎症可减轻或消失，早期症状亦显著改善，但长期随访有30％-50％患者症状复发，其原因尚不清楚。　　4、中医疗法　　中医治疗原则是降气化痰，益气和胃行气止痛。可以用仲景的旋复代赭汤本方是《伤寒论》，原治“伤寒发汗，若吐、若下、解后，心下痞硬、噫气不除者”。主治：胃气虚弱，痰浊内阻。心下痞硬，噫气不除。临床运用：胃气上逆，呕吐涎沫，嗳气。
胃镜检查有什么不适?, 2017-08-10 15:04,68588,刘正新,首都医科大学附属北京朝阳医院,消化内科,很多人对胃镜闻之色变!经常在门诊还碰到过听到建议胃镜，就立刻掉泪的极端例子。这类就诊者最常说的一句话就是“他们说做胃镜很痛”。很多人就因为“他们”的一句话，害怕胃镜，拒绝检查，从而延误了最佳的诊治时机。　　胃镜其实不“痛”　　实际上，胃属于内脏神经支配，胃镜检查过程中是不会产生疼痛感的!取活检一般也没有任何感觉。就像我们吞咽食物，过了喉咙几乎就没有感觉一样!另外，随着胃镜技术的不断发展，现代的胃镜已经变得更细、更柔软，操控性和医生的技术也不断得到提升，绝大部分的病人接受胃镜检查时仅有轻度的不适感。网上流传的中山六院内镜中心李初俊主任、上海长海医院于恩达主任两位内镜大咖自己给自己做胃镜，就可以充分说明问题了。　　胃镜时间短　　技术熟练的内镜医生可以在3-5分钟之内即可完成包括拍照和活检在内的胃镜检查。遇到复杂的情况也很少超过10分钟。所以就算出现不适，放松心情，检查也是很快结束的。　　胃镜检查有什么不适?　　第一、胃镜检查前需要吞服局部麻醉药，有点苦。　　第二、胃镜检查主要的不适是恶心，主要是由于受检者的恐惧心理和胃镜时通过咽喉进入食道时产生的反射。　　第三、部分受检者会由于恐惧觉得呼吸不顺，其实信任医生、检查时不憋气、保持均匀呼吸节律就可以最大程度减轻检查过程中的不适。　　第四、因为检查很快结束，局麻药的麻醉效果还没过，检查结束后会觉得咽喉部不舒服。检查后切勿立即饮水以免呛咳(应等待30-60分钟)，切勿因咽部不适而用力咳嗽以免损伤咽部粘膜。应耐心等待麻药效果结束。　　哪些人可能胃镜稍微辛苦?　　检查时的不适程度主要由受检者的因素所决定。一般而言，过分恐惧、中青年、男性、体型较胖、吸烟、平素咽喉敏感的人群，胃镜检查时反应较大，不适程度较高。这类受检者可以借助镇静药物使之感受不到检查时的不适，即“清醒镇静”胃镜检查。极端情况下可以采用使用麻醉药物，即“无痛”胃镜。　　了解了这些之后，您还觉得胃镜痛吗?其实胃镜不痛。
传统胃镜与无痛胃镜有哪些区别?, 2017-08-10 15:01,69586,刘正新,首都医科大学附属北京朝阳医院,消化内科,胃镜检查是很多胃病患者都必须经历的一项检查，只有通过检查，才能将疾病的病变检查出来，才能为治疗提供科学依据。但是做胃镜检查时的痛苦反应，往往使患者望而却步，害怕检查，错过了治疗的佳时机。患者即使勉强接受检查，其痛苦的感觉令人心有余悸。　　胃镜检查是很多胃病患者都必须经历的一项检查，只有通过检查，才能将疾病的病变检查出来，才能为治疗提供科学依据。但是做胃镜检查时的痛苦反应，往往使患者望而却步，害怕检查，错过了治疗的佳时机。患者即使勉强接受检查，其痛苦的感觉令人心有余悸。现在，使用无痛胃镜诊治新技术，由麻醉医生用一种新型麻醉药物，让患者在短暂的睡眠状态下安全地进行胃镜检查，患者没有任何不适的感觉及不良后遗症，检查完毕很快就能苏醒。　　传统胃镜与无痛胃镜有哪些区别?　　传统胃镜：医生多以右手持镜前端，将胃镜慢慢放入口腔至舌根部，这时多有恶心感。当恶心明显时，或行吞咽动作时，食管上口随之呈开放状、医生会在开放的瞬间顺着开口将胃镜插进食道。有的人配合欠佳时，医生常嘱做吞咽动作就是这个道理。由咽部进食道是胃镜检查过程中感觉明显之处，也是人们所说的难接受的痛苦之处：绝大多数人在1～3秒内医生已顺利将胃镜插进了食道，因此恶心等不适很轻微。极少数人过于紧张，误以为是要自己将胃镜吞下。　　由于病人的恐惧心理和胃镜通过咽部插入食管时的反射，多数病人会有暂时憋气，这些症状给需要做胃镜的患者朋友造成心理上的巨大阴影和恐惧。　　无痛胃镜：现在，使用无痛胃镜诊治新技术，由麻醉医生用一种新型麻醉药物，让患者在短暂的睡眠状态下安全地进行胃镜检查，患者没有任何不适的感觉及不良后遗症，检查完毕很快就能苏醒。减少了患者因痛苦而不自觉燥动引起的机械损伤，避免了因刺激植物神经，造成屏气、血压、心率改变等带来的机体影响。使许多需要手术治疗的疾病，在胃镜下治疗就可以了。即免受手术之苦，又节省了医疗费用，缩短了治疗时间。　　无痛胃肠镜是采用一种新的无痛技术，使病人在无痛状态下完成整个检查和治疗过程，整个过程在睡眠中完成。整个过程胃镜检查只需2至3分钟。检查和治疗后，一般只需休息5至10分钟左右即可回家。做胃镜检查时不能吃任何食物，而便于观察胃内的具体情况。　　无痛胃镜具有的优势：　　无痛苦：患者在检查、治疗过程中无任何不舒服，对精神紧张的患者、对胃肠镜检查恐惧的患者，无痛胃镜、无痛肠镜是您的理想选择。　　创伤小：在无痛性电子胃镜下，对消化道出血、息肉、溃疡狭窄还可以进行多项微创治疗，让患者免于手术开刀之苦。　　时间短：排除检查前的预备时间，从检查开始，几分钟内即可完成。　　更精确：电子胃肠镜拥有目前其他检查手段无法代替的优势，尤其是一些微小病变甚至粘膜层的病变，均可明确诊断。并且具有放大功能，更进一步增加了诊断的准确性。　　无痛胃镜要花多少钱?　　胃镜检查有很多种，不同的胃镜检查所需要的费用也是不同的。像普通的胃镜检查所需要的费用就比较低，但是患者在检查的时候，会有严重的不适感，有时甚至会对人体造成损伤。而无痛胃镜检查的费用略微高一些，不过检查的时候也要相对安全很多，患者也不会出现任何不适的情况，而且检查费用也没有想象的那么贵。　　众所周知，越正规的医院，技术应该是越先进。昆明大滇医院胃肠诊疗中心所有的检查费用都是按照国家收费标准，收费项目，收费类别，收费明细都一一列出，绝无造假，患者可以拿着此凭证享受当地医疗保险。
胃镜检查前后注意事项有哪些？, 2017-08-10 14:54,45987,刘正新,首都医科大学附属北京朝阳医院,消化内科,胃镜检查是诊断胃肠疾病唯一最好的办法，为临床金标准。在进行胃镜检查之前应该详细了解下胃镜检查前后注意事项，只有这样才能使得胃镜检查能顺利进行，以及减少不适症状的发生。那么胃镜检查前后注意事项有哪些?　　胃镜检查前注意事项：　　1、头一天禁止吸烟，以免检查时因咳嗽影响插管;禁烟还可减少胃酸分泌，便于医生观察。　　2、检查前患者至少要空腹6小时以上。如当日上午检查，前一日晚餐后要禁食，当日免早餐;如当日下午检查，早餐可吃清淡半流质食物，中午禁食。重症及体质虚弱禁食后体力难以支持者，检查前应静脉注射高渗葡萄糖液。　　3、为了消除患者的紧张情绪，减少胃液分泌及胃蠕动，驱除胃内的泡沫，使图像更清晰，必要时医生在检查前20-30分钟要给患者用镇静剂、解痉剂和祛泡剂。对此，患者应有所了解，并给予配合。　　4、为了使胃镜能顺利地通过咽部，做胃镜检查前一般要用咽部<药品名略>，用药要领患者要按医生的要求进行。止痛采取局部止痛，只限于咽喉及食管上端。在用上述药前，向医生讲明你的药物过敏史，即过去对什么药物过敏。局部止痛是将2％地卡因或2％赛罗卡因喷雾，病人张口发“阿”声，这时软腭和舌腭弓上移，舌根下移，使舌后、咽喉、软腭喷了药，先后3次。每次喷后，病人将剩在口腔的药咽下，以止痛咽下部。也有采用糊剂，含在口内仰头使药物在咽喉部停留自然流入食管，起局部止痛作用。　　5、病人与医生要合作，检查前病人先去小便排空膀胱，进入检查室后，松开领口及裤带，取下假牙及眼镜，取左侧卧位，或根据需要改用其他体位。入镜后，不能用牙齿咬镜，以防咬破镜身的塑管。身体及头部不能转动，以防损坏镜子并伤害内脏。如有不适情况，病人忍耐一段时间，实在不能忍受，可用手势向施术者(医生或护士)示意，以便采取必要措施。　　胃镜检查后注意事项：　　1、检查完毕病人坐起，并吐出唾液，由于检查时注入一些空气，虽然在退镜时已吸出，但有的人仍有腹胀感，嗳气很多。因为止痛作用未消失，过早吃东西容易使食物进入气管引起呛咳或发生吸入性肺炎。故检查后2小时，待咽部<药品名略>作用消失后再试吃流质食物。在1～4天内，病人可能感到咽部不适或疼痛，但无碍于饮食，大多数人可照常工作，病情较多者可予休息，驾驶员当日不能单独驾驶。做胃镜检查最好有家属陪同，检查结束后护送回家。　　2、咽部可能会有疼痛或异物感，可口含碘喉片、草珊瑚含片等，症状可减轻或消失。　　3、做了活检的患者(特别是老年人)，检查后1～2日内，应进食半流质饮食，忌食生、冷、硬和有刺激性的食物。禁止吸烟、饮酒、喝酽茶和浓咖啡，以免诱发创面出血。
认识开胃健脾的食物, 2017-08-09 19:22,70175,刘正新,首都医科大学附属北京朝阳医院,消化内科,说到开胃健脾的食物，不少人想到山楂，其实日常开胃健脾的食物有很多，如葡萄、玉米、石榴、香椿等就有开胃健脾的功效。下面介绍一下开胃健脾的食物。　　1、包心菜　　包心菜有健脾养胃、缓急止痛、解毒消肿、清热利水的作用，可用于内热引起的胸闷、口渴、咽痛、小便不通、耳目不聪、睡眠不佳、关节不利和腹腔隐痛等症。其含有的维生素C等成分具有止痛及促进溃疡愈合的作用。　　2、香椿　　香椿嫩叶内富含大量蛋白质、糖类、维生素B、维生素C、胡萝卜素以及大量挥发油和磷、铁等矿物质，各种营养素比较全面、均衡。香椿是时令名品，含香椿素等挥发性芳香族有机物，可健脾开胃，增加食欲。　　3、葡萄　　葡萄中含有矿物质钙、钾、磷、铁、蛋白质以及多种维生素，还含有多种人体所需的氨基酸，常食葡萄对神经衰弱、疲劳过度大有裨益。从中医的角度而言葡萄有舒筋活血、开胃健脾、助消化等功效，其含铁量丰富，所以补血。　　4、玉米　　玉米可调中健脾、利尿消肿，是秋季的上佳补品。玉米富含膳食纤维，能促进肠蠕动，减少人体对毒素的吸收。正值玉米上市，建议多吃些鲜嫩的玉米。因为其营养成分要比老玉米高很多。　　5、石榴　　石榴的抗氧化功效几乎是绿茶或红酒的数倍。你每次饮茶量远远不及吃石榴的量，经过研究更是表明石榴的多酚含量比绿茶高很多。另外，石榴除了可以养护心脏外，还有生津止渴、止泻解酒、健脾开胃等作用。　　6、山楂　　山楂有重要的药用价值，自古以来，就成为健脾开胃、消食化滞、活血化痰的良药。山楂含糖类、蛋白质、脂肪、维生素C、胡萝卜素、淀粉、苹果酸、枸橼酸、钙和铁等物质，具有降血脂、血压、强心和抗心律不齐等作用。
什么是胆汁反流性胃炎？, 2017-08-09 15:07,31652,刘正新,首都医科大学附属北京朝阳医院,消化内科,胆汁反流性胃炎亦称碱性反流性胃炎，是指由幽门括约肌功能失调或行降低幽门功能的手术等原因造成含有胆汁、胰液等十二指肠内容物流入胃，使胃黏膜产生炎症、糜烂和出血等，减弱胃黏膜屏障功能，引起弥散增加，而导致的胃黏膜慢性炎症。　　一、病因　　胆汁反流性胃炎的病因主要为胃大部切除、胃空肠吻合术后，以及幽门功能失常和慢性胆道疾病等。　　二、临床表现　　1、腹胀　　这是比较主要的症状之一，表现为腹部饱胀不适，中上腹持续烧灼感，也可表现为胸骨后痛，餐后可加重。　　2、胃灼热　　胃部有灼烧感，甚至有些患者食管也会有烧灼感，常常伴有嗳气、反酸、恶心、呕吐、肠鸣、排便不畅、食欲减退以及消瘦等现象。　　3、胃出血　　严重的胆汁反流性胃炎患者还会出现胃出血的情况，有的患者大便呈现黑色，有的是呕血。　　4、呕吐　　由于胃排空障碍，呕吐一般发生在晚间或半夜，有些患者呕吐物中带血。　　三、检查　　1、胃镜检查　　内镜下可观察到反流表现：即胃腔内多量浅黄至黄绿色胆汁，或胃壁上附较多含胆汁的黏液，或见到含有胆汁的十二指肠液呈泡沫状或水流状从幽门口反流入胃、幽门口松弛或处于开放固定状态；胃炎表现：胃黏膜弥漫性红色改变，黏膜皱襞水肿、接触性出血，或伴有糜烂、溃疡。　　2、胃吸出物测定　　通过从患者鼻腔插入胃管到达胃腔，继而抽吸空腹和餐后胃液，测定其中胆酸含量，如空腹基础胃酸分泌量＜3.5mmol/h，胆酸超过30ug/ml，则可确诊胆汁反流性胃炎。　　3、同位素测定　　通过静脉注射99mTc-丁亚胺双醋酸，观察肝、胆囊及胃区，决定肠胃反流指数。通过对胃内同位素含量的检测，可了解肠胃反流的程度。　　四、诊断　　胆汁反流性胃炎的诊断和鉴别主要依靠胃镜检查和和胃吸出物测定，同位素测定可了解反流程度。　　五、并发症　　本病可并发食管狭窄、出血、溃疡等。因反流的胃液可侵袭咽部、声带、气管而至慢性咽炎，慢性声带炎和气管炎，即临床上所称的Delahunty综合征。胃液反流和吸入呼吸道可致吸入性肺炎。　　六、治疗　　1、药物治疗　　胃动力药物能增加胃肠道蠕动，抑制胆汁反流入胃，常用的有：多潘立酮、莫沙必利。胃黏膜保护剂：硫糖铝，能与胃黏膜的黏蛋白结合形成保护膜，以保护胃黏膜免受胆汁损伤；胃膜素，能在胃内形成膜状物覆盖胃黏膜，以减轻反流的胆汁和胃酸对胃黏膜的刺激；蒙脱石散，为胃黏膜保护剂，有加强消化道黏膜屏障作用，有利于胃黏膜的再生；生胃酮，能促使胃黏膜分泌黏液，从而保护胃黏膜；磷酸铝凝胶，有保护胃黏膜、促进炎症愈合作用。　　2、手术治疗　　主要适用于症状严重内科治疗无效者，常用术式有Roux-en-Y手术或胆道分流术。　　3、饮食调养　　饮食要清淡，不吃油腻食物，以免刺激胆汁分泌增多，加重反流和病情。应细嚼慢咽，忌暴饮暴食。避免饮酽茶、烈酒、浓咖啡和进食辛辣、过冷、过热和粗糙食物。　　4、去除某些加重病情的因素　　包括戒烟酒、避免精神紧张，保持心情舒畅，不服或慎服对胃黏膜有刺激的药物。
健康膳食四要素有什么好处？, 2016-11-03 19:10,29777,俞力,首都医科大学附属北京友谊医院,消化科,人类的食物是多种多样的，食物间并没有好坏之分。只是各种各样的食物所含的营养成分不尽相同，关键在于食物种类和数量的合理搭配，只有合理地搭配食物人体才能获得所需的营养成分。为了保证人体健康，膳食中应含有人体所需的各种营养素，但要注意万万不能过剩。　　人体需要的营养素有两大类：即宏量营养素和微量营养素。宏量营养素包括蛋白质、脂肪、碳水化合物，微量营养分为矿物质和维生素两大类。人体需要的营养素及膳食成分主要有7类，除了上面提到的几种，还包括膳食纤维和水，它们的功能各不相同。　　蛋白质是生命的物质基础，是构成人体细胞组织的主要成分，约占人体重量的16％～19％，是人体能量来源之一。记得在一本教科书中形象的说“没有蛋白质就没有生命”，其主要来源于动物性食物和大豆制品。　　脂肪现在经常被爱美的人士拒之门外。其实脂肪也是人体的重要成分，是储存能量的主要形式。膳食脂肪的来源有两个：一是食物本身含有的脂肪，二是烹调用的食用油。膳食脂肪可分为动物性脂肪和植物性脂肪，动物性脂肪含有较多的饱和脂肪酸，易升高人体的血液黏稠度因此不建议多食。植物性脂肪含有较多不饱和脂肪酸，不饱和脂肪酸能够很好的降低血液中黏稠度，改善血液循环，降低血中胆固醇和甘油三酯，所以建议日常烹调用油选择花生油、橄榄油、玉米油。碳水化合物主要为人体提供能量，通常是人体心脏和大脑活动的能量来源，主要由植物性食物供给，饮食中注意粗细搭配原则。　　维生素天然存在于食物中，人体几乎不能合成，虽然需要量甚微，但在机体的代谢、发育过程中起着重要的作用。是防止多种营养缺乏病的必需营养素，主要存在于蔬菜、水果中。矿物质是构成人体的重要成分，占人体重量的4％。也是维持人体正常生理功能不可缺少的营养素。　　膳食纤维具有预防便秘、促进肠道健康的作用，对预防高血脂、高血糖有重要意义，主要来源于植物性食物，如谷类和蔬菜中。饮用水能够帮助食物消化吸收，并将产生的代谢“废物”排出体外，还能调节体温，维持体液平衡，所以每天坚持饮用白开水显得十分必要。　　在日常饮食中要做到食物多样化，粗细搭配，数量适当。这才是健康饮食的基石，希望健康饮食永远伴随您幸福的生活。
有关胃胀的治疗, 2016-11-03 19:04,37267,刘正新,首都医科大学附属北京朝阳医院,消化内科,治疗胃胀的常用药主要是为了加强胃动力，但是长期服用会造成人体的依赖性，同时药物是化学合成的，对人体存在着或多或少的副作用。　　其实治疗胃胀最主要的还是要在生活中注意保养，避免摄食刺激性和对身体敏感的食物，同是饮食方面要有规律，细嚼慢咽，戒烟少酒；情绪稳定，放松精神，适量运动，劳逸结合。另外呢在营养产品的调理给了如下建议：维生素C：具有抗氧化，解毒的功效，减轻精神压力；促进胶原蛋白的合成，增强胃动力。维生素B族：促进消化，加速人体的新陈代谢；稳定情绪，减轻精神压力，改善睡眠。复合维生素片：补充人体所需的维生素和矿物质，促进消化，加速人体的新陈代谢；加速修复受损的组织；稳定情绪，减轻精神压力。在服用方法上急需营养重点补充，按标签注量的3倍服用，直到有关症状缓解为止；正常需要基本营养补充，按标签注量服用。　　1、胃动力药——可加快胃肠排空，促使胃肠蠕动，增强胃功能，对帮助胃肠功能的恢复有明显疗效。　　2、肠道菌群调节剂——乳酸菌素片、乳酶生等可调节肠道菌群，适用于消化不良、异常发酵引起的腹胀。　　3、助消化药——可用多酶片，中药制剂如：健胃消食片口服，保和丸、大山楂丸等尚有通便、助消化功能。　　4、调节胃植物神经功能紊乱药-如安神护胃剂，适用于久治不愈的胃病患者。　　5、肠胃保健药——可用于胃肠消化系统的日常保健，对因精神紧张，饮食不调引发的胃肠不适症状有良好的调养保健功效。对慢性胃炎、胃及十二指肠溃疡等症有良好的辅助治疗效果，尤其适用于防治胃病复发，缓解因胃炎引起的腹部疼痛。
慢性萎缩性胃炎的病理改变有哪些, 2016-03-16 07:09,18985,赵东奇,松原市中医院,推拿按摩科,慢性萎缩性胃炎的病理变化比较复杂，但是以胃黏膜固有腺体萎缩为其突出病变。主要表现在胃黏膜固有腺的数量减少，功能减低，同时还伴有炎性细胞浸润，上皮增生及化生等。　　腺体萎缩是萎缩性威严的基本病变，也是病理诊断的主要依据。萎缩多发生与腺体颈部以下的腺体，腺体变短，数量减少，重者腺体可以完全消失，粘膜变薄。在萎缩区可有大量淋巴细胞和浆细胞的浸润，常波及粘膜全层。可形成淋巴滤泡。如果在粘膜浅层中出现中性粒细胞浸润，即可诊断胃活动性萎缩性胃炎，这时的粘膜上皮常常发生坏死，或形成糜烂。　　一、肠上皮化生或假幽门腺化生　　肠上皮化生或假幽门腺化生是萎缩性胃炎常见的病理改变。　　化生的程度一般与固有腺体萎缩程度呈正相关，即固有腺体萎缩越重，化生腺体也越多。　　肠上皮化生可以分为两种　　一种是完全型化生，又称为I型化生、小肠型化生，完全型化生的上皮与小肠上皮相似，含有吸收细胞、杯状细胞和潘氏细胞。　　另一种胃不完全型化生，又称II型化生，不完全型化生又分为胃型化生和结肠型化生。胃型不完全化生的柱状细胞像胃的腺窝上皮细胞，可以分泌中性粘液，结肠型不完全化生的柱状细胞分泌酸性粘液。一般认为结肠型不完全化生与胃癌的关系密切。因为不典型增生是起始于不完全化生。　　假幽门腺化生是指胃体或胃底粘膜中出现类似正常幽门腺的腺体，主要由柱状粘液细胞组成，一般不见内分泌细胞。而真幽门腺有较多的胃泌素细胞，假幽门腺化生可能与胃黏膜的损失有关。　　二、值得关注的是萎缩性胃炎贲门炎，其发病率仅次于胃窦炎，它与胃贲门癌的发生有密切关系。可以认为是贲门癌的癌前状态，特别是与高分化肠型胃癌的发生更为密切。由于贲门部癌的特殊性，X线及胃镜检查，常常容易漏诊，而组织学又常为高分化腺癌，不易与良性病变区分。所以对于萎缩性胃炎贲门炎要加强重视，定期复查。检查时，一定要仔细认真查看，才可以提高诊断的正确率，避免漏诊误诊。
